station_id,station_name,station_type,latitude,longitude,state,supports_water_level
1611400,Nawiliwili,Unknown,21.9544,-159.3561,Hawaii,False
1612340,Honolulu,Unknown,21.303333,-157.86453,Hawaii,False
1612401,Pearl Harbor,Unknown,21.3675,-157.9639,Hawaii,False
1612480,Mokuoloe,Unknown,21.433056,-157.79,Hawaii,False
1615680,"Kahului, Kahului Harbor",Unknown,20.894945,-156.469,Hawaii,False
1617433,Kawaihae,Unknown,20.0366,-155.8294,Hawaii,False
1617760,"Hilo, Hilo Bay, Kuhio Bay",Unknown,19.730278,-155.05556,Hawaii,False
1619910,"Sand Island, Midway Islands",Unknown,28.211666,-177.36,Hawaii,False
1630000,"Apra Harbor, Guam",Unknown,13.443389,144.65636,Hawaii,False
1631428,"Pago Bay, Guam",Unknown,13.428333,144.79889,Hawaii,False
1770000,"Pago Pago, American Samoa",Unknown,-14.28,-170.69,Hawaii,False
1820000,"Kwajalein, Marshall Islands",Unknown,8.731667,167.73611,Hawaii,False
1890000,"Wake Island, Pacific Ocean",Unknown,19.290556,166.6175,Hawaii,False
2695535,Bermuda Biological Station,Unknown,32.37,-64.695,Rhode Island,False
2695540,"Bermuda, St. Georges Island",Unknown,32.3734,-64.7033,Rhode Island,False
8311030,Ogdensburg,Unknown,44.702778,-75.494446,New York,False
8311062,Alexandria Bay,Unknown,44.33111,-75.934525,New York,False
8410140,Eastport,Unknown,44.90461,-66.98289,Maine,False
8411060,Cutler Farris Wharf,Unknown,44.6567,-67.21,Maine,False
8413320,Bar Harbor,Unknown,44.392193,-68.20428,Maine,False
8418150,Portland,Unknown,43.658054,-70.24416,New Hampshire,False
8419870,Seavey Island,Unknown,43.079723,-70.74111,New Hampshire,False
8443970,Boston,Unknown,42.35389,-71.05028,Massachusetts,False
8447386,Fall River,Unknown,41.7043,-71.1641,Rhode Island,False
8447435,Chatham,Unknown,41.6885,-69.9511,Rhode Island,False
8447636,New Bedford Harbor,Unknown,41.6212,-70.9137,Rhode Island,False
8447930,Woods Hole,Unknown,41.523613,-70.67111,Rhode Island,False
8449130,Nantucket Island,Unknown,41.285,-70.0967,Rhode Island,False
8452660,Newport,Unknown,41.504333,-71.32614,Rhode Island,False
8452944,Conimicut Light,Unknown,41.7167,-71.3433,Rhode Island,False
8454000,Providence,Unknown,41.807167,-71.400665,Rhode Island,False
8454049,Quonset Point,Unknown,41.5868,-71.411,Rhode Island,False
8461490,New London,Unknown,41.371666,-72.09556,Rhode Island,False
8465705,New Haven,Unknown,41.2833,-72.9083,Connecticut,False
8467150,Bridgeport,Unknown,41.17582,-73.18397,Connecticut,False
8510560,Montauk,Unknown,41.048332,-71.95944,Rhode Island,False
8516945,Kings Point,Unknown,40.8103,-73.7649,New Jersey,False
8518750,The Battery,Unknown,40.700554,-74.01417,New Jersey,False
8518962,Turkey Point Hudson River NERRS,Unknown,42.0139,-73.9392,Connecticut,False
8518979,"Coxsackie, Hudson River",Unknown,42.35264,-73.79486,Connecticut,False
8531680,Sandy Hook,Unknown,40.4669,-74.0094,New Jersey,False
8534720,Atlantic City,Unknown,39.356667,-74.41805,New Jersey,False
8536110,Cape May,Unknown,38.9683,-74.96,Delaware,False
8537121,Ship John Shoal,Unknown,39.30539,-75.37668,Delaware,False
8539094,"Burlington, Delaware River",Unknown,40.0817,-74.8697,New Jersey,False
8540433,Marcus Hook,Unknown,39.811806,-75.4095,New Jersey,False
8545240,Philadelphia,Unknown,39.933056,-75.14198,New Jersey,False
8546252,Bridesburg,Unknown,39.979683,-75.079315,New Jersey,False
8548989,Newbold,Unknown,40.137333,-74.75183,New Jersey,False
8551762,Delaware City,Unknown,39.582195,-75.588974,Delaware,False
8551910,Reedy Point,Unknown,39.558334,-75.571945,Delaware,False
8555889,Brandywine Shoal Light,Unknown,38.986668,-75.113335,Delaware,False
8557380,Lewes,Unknown,38.782833,-75.11928,Delaware,False
8570283,Ocean City Inlet,Unknown,38.32833,-75.09167,Delaware,False
8571421,Bishops Head,Unknown,38.22,-76.0383,Delaware,False
8571892,Cambridge,Unknown,38.5725,-76.06167,Delaware,False
8573364,Tolchester Beach,Unknown,39.213444,-76.24455,Maryland,False
8573927,Chesapeake City,Unknown,39.52667,-75.81,Delaware,False
8574680,Baltimore,Unknown,39.2667,-76.5783,Maryland,False
8575512,Annapolis,Unknown,38.983883,-76.480034,Maryland,False
8577330,Solomons Island,Unknown,38.3167,-76.4517,Maryland,False
8594900,Washington,Unknown,38.873333,-77.02167,Maryland,False
8631044,Wachapreague,Unknown,37.607777,-75.68584,Delaware,False
8632200,Kiptopeke,Unknown,37.1652,-75.9884,Delaware,False
8635027,Dahlgren,Unknown,38.31975,-77.0366,Maryland,False
8635750,Lewisetta,Unknown,37.9961,-76.4644,Maryland,False
8636580,Windmill Point,Unknown,37.6155,-76.28978,Delaware,False
8637689,Yorktown USCG Training Center,Unknown,37.2265,-76.478806,Virginia,False
8638610,Sewells Point,Unknown,36.94278,-76.32861,Virginia,False
8638901,"CBBT, Chesapeake Channel",Unknown,37.0329,-76.0833,Delaware,False
8639348,Money Point,Unknown,36.778194,-76.301865,Virginia,False
8651370,Duck,Unknown,36.1833,-75.7467,Virginia,False
8652587,Oregon Inlet Marina,Unknown,35.795696,-75.548195,North Carolina,False
8654467,USCG Station Hatteras,Unknown,35.20861,-75.70419,North Carolina,False
8656483,"Beaufort, Duke Marine Lab",Unknown,34.71733,-76.67066,North Carolina,False
8658120,Wilmington,Unknown,34.2267,-77.9533,North Carolina,False
8658163,Wrightsville Beach,Unknown,34.213306,-77.7867,North Carolina,False
8661070,Springmaid Pier,Unknown,33.655,-78.9183,South Carolina,False
8665530,Charleston,Unknown,32.780834,-79.923615,South Carolina,False
8670870,Fort Pulaski,Unknown,32.034695,-80.90303,Georgia,False
8679598,Kings Bay MSF Pier,Unknown,30.7781,-81.4914,Georgia,False
8720030,Fernandina Beach,Unknown,30.671356,-81.46584,Georgia,False
8720218,Mayport (Bar Pilots Dock),Unknown,30.398167,-81.42789,Georgia,False
8720219,Dames Point,Unknown,30.3867,-81.5583,Georgia,False
